name_similarity,email_similarity,phone_similarity,branch_similarity,course_similarity,dob_similarity,label,entity_id,pair_type
0.9473684210526316,1.0,1.0,1.0,0.9090909090909091,1.0,1,STU0002,positive
0.19999999999999996,0.0,0.0,0.41025641025641024,0.3571428571428571,0.0,0,,negative_easy
1.0,1.0,1.0,0.8125,1.0,0.0,1,STU0089,positive
0.923076923076923,1.0,0.0,0.15000000000000002,1.0,1.0,1,STU0050,positive
1.0,1.0,1.0,0.6666666666666667,1.0,1.0,1,STU0059,positive
0.9090909090909091,1.0,1.0,0.17021276595744683,0.3703703703703704,0.0,1,STU0047,positive
1.0,1.0,1.0,0.6666666666666667,1.0,1.0,1,STU0057,positive
1.0,1.0,1.0,1.0,0.3571428571428571,1.0,1,STU0082,positive
1.0,1.0,1.0,0.41666666666666663,0.3703703703703704,1.0,1,STU0009,positive
0.9473684210526316,0.0,0.0,0.5555555555555556,0.3571428571428571,1.0,0,,negative_hard
1.0,0.0,0.0,1.0,1.0,1.0,0,,negative_same_name
1.0,0.0,0.0,0.8125,1.0,1.0,0,,negative_same_name
0.9166666666666665,0.0,0.0,1.0,1.0,1.0,0,,negative_hard
0.9090909090909091,1.0,1.0,1.0,0.3571428571428571,1.0,1,STU0092,positive
1.0,0.0,0.0,0.8125,1.0,1.0,0,,negative_hard
1.0,1.0,1.0,1.0,0.3703703703703704,1.0,1,STU0087,positive
1.0,1.0,1.0,0.41666666666666663,0.3571428571428571,1.0,1,STU0073,positive
1.0,1.0,1.0,0.2857142857142857,0.3571428571428571,1.0,1,STU0038,positive
1.0,0.0,0.0,0.41666666666666663,0.3703703703703704,1.0,0,,negative_same_name
0.2857142857142857,0.0,0.0,0.6666666666666667,1.0,0.0,0,,negative_easy
1.0,0.0,0.0,1.0,1.0,1.0,0,,negative_hard
0.9523809523809522,0.0,1.0,0.625,0.3571428571428571,1.0,1,STU0001,positive
1.0,0.0,0.0,1.0,1.0,1.0,0,,negative_hard
1.0,0.0,1.0,0.15000000000000002,0.3703703703703704,0.0,1,STU0068,positive
1.0,1.0,1.0,0.5714285714285714,1.0,1.0,1,STU0023,positive
1.0,1.0,1.0,1.0,1.0,1.0,1,STU0099,positive
0.9090909090909091,1.0,0.0,0.3529411764705882,0.3571428571428571,0.0,1,STU0031,positive
0.42105263157894735,0.0,0.0,0.41379310344827597,0.3703703703703704,0.0,0,,negative_easy
1.0,1.0,1.0,1.0,1.0,1.0,1,STU0040,positive
0.2727272727272727,0.0,0.0,0.3529411764705882,0.9090909090909091,0.0,0,,negative_easy
0.9473684210526316,0.0,1.0,0.2068965517241379,0.3571428571428571,1.0,1,STU0088,positive
1.0,1.0,1.0,0.3076923076923077,0.3703703703703704,1.0,1,STU0022,positive
1.0,0.0,0.0,0.4897959183673469,0.3571428571428571,1.0,0,,negative_hard
0.4761904761904761,0.0,0.0,0.26415094339622647,0.9090909090909091,0.0,0,,negative_easy
0.6363636363636364,0.0,1.0,0.42307692307692313,0.9090909090909091,0.0,1,STU0032,positive
0.19047619047619047,0.0,0.0,1.0,1.0,0.0,0,,negative_easy
1.0,0.0,0.0,1.0,0.9090909090909091,1.0,0,,negative_hard
0.9523809523809522,0.0,0.0,1.0,0.3571428571428571,1.0,1,STU0033,positive
0.36363636363636365,0.0,0.0,0.1081081081081081,0.3571428571428571,0.0,0,,negative_easy
1.0,1.0,1.0,0.125,1.0,1.0,1,STU0079,positive
0.923076923076923,1.0,1.0,1.0,1.0,1.0,1,STU0085,positive
1.0,1.0,1.0,1.0,0.3571428571428571,0.0,1,STU0006,positive
1.0,0.0,0.0,0.15000000000000002,1.0,1.0,0,,negative_hard
0.26086956521739135,0.0,0.0,0.09302325581395354,1.0,0.0,0,,negative_easy
1.0,0.0,0.0,0.17021276595744683,1.0,1.0,0,,negative_same_name
1.0,1.0,0.0,0.8125,1.0,1.0,1,STU0012,positive
0.9090909090909091,1.0,1.0,0.3076923076923077,1.0,1.0,1,STU0060,positive
1.0,1.0,1.0,1.0,0.3571428571428571,0.0,1,STU0095,positive
1.0,0.0,0.0,0.14634146341463417,1.0,1.0,0,,negative_same_dob
0.5454545454545454,0.0,0.0,0.1333333333333333,1.0,0.0,0,,negative_easy
0.7,0.0,1.0,0.5714285714285714,0.9090909090909091,1.0,1,STU0075,positive
1.0,1.0,1.0,0.6666666666666667,1.0,1.0,1,STU0014,positive
1.0,0.0,0.0,0.15000000000000002,0.3703703703703704,1.0,0,,negative_same_dob
1.0,0.0,0.0,0.6666666666666667,1.0,1.0,1,STU0017,positive
